field_1,id,date,price,bedrooms,bathrooms,sqft_livin,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basem,yr_built,yr_renovat,zipcode,lat,long,sqft_liv_1,sqft_lot15,bed_to_bat,has_baseme,water_dist
3249,3343301910,10/20/2014,1000000,5,4.5,2120,8944,2,1,4,5,8,2120,0,1939,1963,98006,47.5488,-122.197,2870,8944,1.111111111,0,0.002216456
2177,3343301920,3/2/2015,1650000,3,2.75,2690,8890,2,1,4,4,10,2690,0,1975,0,98006,47.5487,-122.197,2940,8890,1.090909091,0,0.003440458
4758,9201300050,8/14/2014,1850000,5,2.25,2800,8442,2,1,4,3,9,2800,0,1963,2001,98075,47.5784,-122.076,3220,9156,2.222222222,0,0.005210627
4713,2025049006,11/12/2014,750000,7,2.75,3410,4056,1.5,0,0,4,8,2130,0,1906,0,98102,47.6454,-122.316,2510,4056,2.545454545,0,0.005432651
2337,1724069062,7/14/2014,1370000,2,3.25,2700,3444,3,1,3,3,9,2700,0,1990,0,98075,47.5684,-122.06,2710,3444,0.615384615,0,0.00691241
8969,1724069060,5/7/2015,1080000,2,3.25,1550,1767,3,0,3,3,8,1550,0,2006,0,98075,47.5684,-122.06,2710,3444,0.615384615,0,0.00691241
20138,1176001310,3/4/2015,2950000,5,4.5,4340,5722,3,0,4,3,10,4340,0,2010,0,98107,47.6715,-122.406,1770,5250,1.111111111,0,0.007582225
5711,9201300020,8/11/2014,1520000,3,2.25,2610,9409,1,0,4,4,8,2610,0,1963,0,98075,47.5789,-122.076,2970,9156,1.333333333,0,0.007919571
19606,7351200295,1/14/2015,1150000,3,1.75,1760,6788,2,1,4,3,7,1760,0,1940,0,98125,47.7336,-122.284,1630,7588,1.714285714,0,0.008398295
11434,624069035,12/9/2014,2750000,4,4,4130,5575,2,1,4,4,10,2860,1270,1993,0,98075,47.5968,-122.083,2980,5575,1,1,0.008494309
4482,1724069059,5/24/2014,2000000,5,4,4580,4443,3,1,4,3,10,4580,0,2004,0,98075,47.5682,-122.059,2710,4443,1.25,0,0.010242616
20751,8043700105,4/17/2015,2300000,4,4,4360,8175,2.5,1,4,3,10,3940,420,2007,0,98008,47.5724,-122.104,2670,8525,1,1,0.011754233
1166,3523029041,10/9/2014,290000,2,0.75,440,8313,1,1,3,4,5,440,0,1943,0,98070,47.4339,-122.512,880,26289,2.666666667,0,0.011796504
18212,1176001293,6/17/2014,2480000,3,3.25,4340,4947,2,0,3,3,11,3060,1280,1993,0,98107,47.6709,-122.406,1680,5250,0.923076923,1,0.011830397
18440,8043700300,6/8/2014,2700000,4,3.25,4420,7850,2,1,4,3,11,3150,1270,2001,0,98008,47.572,-122.102,2760,8525,1.230769231,1,0.012333328
1150,4055701200,4/21/2015,1960000,4,2.75,3120,7898,1,1,4,4,8,1560,1560,1963,0,98034,47.7165,-122.259,2630,13868,1.454545455,1,0.012801253
2073,3623500260,5/12/2014,1200000,3,1.75,1560,8078,1.5,1,4,4,6,1560,0,1928,0,98040,47.5779,-122.246,2890,16710,1.714285714,0,0.012930555
8438,724069023,4/14/2015,1250000,1,1.25,1810,5070,1.5,1,4,4,8,1230,580,1967,0,98075,47.5814,-122.081,2280,5070,0.8,1,0.013361786
6753,7603100020,8/5/2014,969000,4,2,2450,5000,2,0,4,5,8,2200,250,1919,0,98116,47.5619,-122.405,2360,6090,2,1,0.013820704
9243,7352200025,10/13/2014,1190000,2,1.75,2080,8112,1,1,4,4,8,1040,1040,1939,1984,98125,47.7134,-122.277,2030,8408,1.142857143,1,0.01388601
15654,4030100290,10/1/2014,1680000,5,3.5,5170,7197,3,1,4,3,11,3520,1650,1998,0,98155,47.7561,-122.271,3020,12880,1.428571429,1,0.014260192
15214,8644500010,3/20/2015,715000,3,1.75,1650,7276,1.5,0,4,4,7,1150,500,1928,0,98117,47.6989,-122.399,2300,8088,1.714285714,1,0.015348341
